school_year,dpi_true_id,lat,long,school_name,accurate_agency_type,grade_band,school_enrollment,ELA,Mathematics,overall_rating,overall_score,sch_ach,sch_growth,per_ed,per_swd,per_lep,per_b_aa,per_hisp_lat
2023-24,3619_0444,43.117675019017,-88.000598041341,Carmen Middle/High School of Science and Technology Northwest Campus,Public Charter School,6-12,586,0.11,0.106,Meets Few Expectations,51.2,19.3,51.8,0.974,0.157,0.014,0.874,0.051
2023-24,3619_0448,43.154885011332,-88.031163992375,Vincent Accelerated Academy,Milwaukee Public School,9-12,49,0,0,Alternate Rating - Needs Improvement,NA,NA,NA,0.857,0.265,0,0.816,0.041
2023-24,3619_0451,42.989295987873,-87.945723984365,Carmen High School of Science and Technology Southeast Campus,Public Charter School,9-12,676,0.169,0.131,Meets Few Expectations,57.1,23.2,52.7,0.981,0.123,0.448,0.041,0.928
2023-24,3619_0454,43.142242000039,-87.976753035549,Green Tree Preparatory Academy,Milwaukee Public School,6-12,496,0.073,0.03,Fails to Meet Expectations,46.1,12.3,59.4,0.948,0.143,0.018,0.881,0.042
2023-24,3619_0458,43.037759984395,-87.922192964667,Project STAY-Supporting Teachers and Youth,Milwaukee Public School,9-12,78,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.885,0.231,0.026,0.769,0.154
2023-24,3619_0501,43.096818999898,-88.008152985949,Craig Montessori School,Milwaukee Public School,K-8,257,0.198,0.123,Exceeds Expectations,70.9,19.2,85,0.728,0.125,0,0.833,0.047
2023-24,3619_0525,43.060961008566,-87.956158028895,Metcalfe Elementary,Milwaukee Public School,K-8,342,0.007,0.03,Fails to Meet Expectations,40.2,7.9,44.2,0.927,0.158,0,0.936,0.023
2023-24,3619_0840,43.109728010888,-87.967732012257,Obama School of Career and Technical Education,Milwaukee Public School,K-12,1226,0.034,0.015,Fails to Meet Expectations,35.1,11.5,52.7,0.893,0.155,0.042,0.778,0.126
2023-24,3619_0852,43.044796005378,-87.934746038138,Highland Community School,Public Charter School,K-8,414,0.632,0.448,Exceeds Expectations,75,56.7,82.1,0.435,0.21,0.019,0.37,0.123
2023-24,3619_0870,43.033178017025,-87.992777977135,MacDowell Montessori School K3-12,Milwaukee Public School,K-12,860,0.332,0.194,Meets Expectations,66.5,30.6,73.6,0.656,0.188,0.005,0.517,0.109
2023-24,3619_0880,43.101433991967,-88.018646039077,HAPA-Hmong American Peace Academy K3-12,Public Charter School,K-12,1894,0.448,0.475,Meets Expectations,68.9,54.2,67,0.848,0.044,0.191,0.003,0.012
2023-24,3619_0885,43.107816014955,-87.940547991516,Milwaukee Excellence Charter School,Public Charter School,6-12,269,0.068,0.084,Meets Few Expectations,53.2,15.7,58.4,0.862,0.167,0,0.952,0.026
2023-24,3619_1121,43.012989993679,-87.912917969708,La Causa Charter School,Public Charter School,K-8,570,0.154,0.122,Meets Expectations,59.3,18.8,66,0.916,0.128,0.6,0.026,0.968
2023-24,8001_8115,43.04204900425,-87.915619960015,Tenor High,Public Charter School,9-12,627,0.178,0.194,Meets Expectations,59.9,29.9,57.5,0.721,0.144,0.234,0.268,0.638
2023-24,8001_8121,43.016013010878,-87.954526994356,Seeds of Health Elementary Program,Public Charter School,K-8,377,0.207,0.228,Meets Expectations,65.4,32.9,74.6,0.849,0.202,0.247,0.135,0.836
2023-24,8001_8124,42.988194019063,-87.952763022833,Veritas High,Public Charter School,9-12,255,0.315,0.265,Meets Expectations,66.3,35.5,66.9,0.741,0.047,0.373,0,0.933
2023-24,8002_8133,42.995558987835,-87.951775969915,Rocketship Southside Community Prep,Public Charter School,K-5,398,0.24,0.344,Meets Expectations,68.1,37.5,76.4,0.817,0.191,0.533,0.093,0.867
2023-24,8002_8140,43.117927020936,-87.996652008964,Rocketship Transformation Prep,Public Charter School,K-5,231,0.133,0.147,Fails to Meet Expectations,46.3,20,46.1,0.922,0.139,0.004,0.818,0.104
2023-24,8003_8123,43.02066500905,-87.922103026846,Bruce Guadalupe,Public Charter School,K-8,1410,0.454,0.467,Significantly Exceeds Expectations,83,54.3,90.7,0.785,0.091,0.218,0.011,0.965
2023-24,8003_8137,43.020457012123,-87.918001007251,United Community Center Acosta Middle School,Public Charter School,6-8,180,0.312,0.382,Exceeds Expectations,76,40.3,86.8,0.839,0.117,0.356,0.011,0.961
