School Name,Sector,Grade Band,Enrollment,ELA,Math,Overall Rating,Overall Score,Achievement Score,Growth Score,Economically Disadvantaged,Students with Disabilitites,Limited English Proficiency,Black,Latino
Carson Academy,Milwaukee Public School,K-8,332,0.078,0.05,Meets Few Expectations,51.1,8.3,68.9,0.901,0.172,0,0.901,0.054
Hamilton High,Milwaukee Public School,9-12,1485,0.066,0.035,Meets Few Expectations,50.9,18.8,53.7,0.832,0.199,0.268,0.329,0.424
Auer Avenue Elementary,Milwaukee Public School,K-5,187,0.029,0.029,Meets Few Expectations,50.3,5.9,57.5,0.963,0.198,0,0.947,0.011
Manitoba Elementary,Milwaukee Public School,K-8,445,0.158,0.113,Meets Few Expectations,50.1,15.3,57.5,0.876,0.276,0.171,0.24,0.434
Kluge Elementary,Milwaukee Public School,K-5,344,0.141,0.106,Meets Few Expectations,49.9,15.1,60.3,0.945,0.317,0.023,0.828,0.049
Hopkins Lloyd Community School,Milwaukee Public School,K-5,128,0.109,0.109,Meets Few Expectations,49.8,6.2,58.4,0.953,0.172,0,0.945,0.016
Roosevelt Middle,Milwaukee Public School,6-8,225,0.111,0.021,Meets Few Expectations,49.7,9.8,60.3,0.947,0.2,0,0.884,0.044
Bay View High,Milwaukee Public School,9-12,956,0.08,0.06,Meets Few Expectations,49.4,17.1,49.9,0.849,0.253,0.121,0.46,0.323
King Jr Elementary,Milwaukee Public School,K-8,298,0.092,0.031,Meets Few Expectations,49.4,6.6,60.3,0.923,0.171,0,0.909,0.044
Hawley Environmental School,Milwaukee Public School,K-5,297,0.085,0.109,Meets Few Expectations,49.4,22,51.8,0.889,0.256,0.003,0.744,0.094
Carver Academy,Milwaukee Public School,K-8,297,0.078,0.092,Meets Few Expectations,49.2,14.1,54.6,0.929,0.199,0,0.929,0.024
Woodlands School - State Street Campus,Public Charter School,K-8,198,0.225,0.117,Meets Few Expectations,49.2,32.2,68.9,0.177,0.061,0.005,0.697,0.086
Marshall High,Milwaukee Public School,9-12,692,0.015,0.003,Meets Few Expectations,49,8,54.6,0.84,0.309,0.009,0.887,0.038
Grantosa Drive Elementary,Milwaukee Public School,K-8,551,0.07,0.1,Meets Few Expectations,48.1,11.7,57.5,0.911,0.194,0.015,0.875,0.036
Hartford Avenue Elementary,Milwaukee Public School,K-8,380,0.102,0.039,Meets Few Expectations,48,13.1,54.6,0.895,0.168,0,0.829,0.061
Starms Discovery,Milwaukee Public School,K-8,230,0.104,0.03,Fails to Meet Expectations,47.7,8.7,61.3,0.965,0.261,0,0.904,0.07
Early View Academy of Excellence,Private School*,K-12,269,0.042,0.03,Fails to Meet Expectations,47.5,11,64.1,1,0.007,0,0.926,0.045
Milwaukee Spanish Immersion,Milwaukee Public School,K-5,678,0.306,0.237,Fails to Meet Expectations,47.4,40.8,39.4,0.748,0.168,0.012,0.24,0.615
Lincoln Middle,Milwaukee Public School,6-8,308,0.086,0.031,Fails to Meet Expectations,47.2,12,54.6,0.925,0.224,0.094,0.675,0.234
Stuart Elementary,Milwaukee Public School,K-5,295,0.305,0.298,Fails to Meet Expectations,46.9,32.6,48.9,0.915,0.18,0.064,0.583,0.061
Audubon Technology and Communication Middle,Milwaukee Public School,6-8,368,0.173,0.058,Fails to Meet Expectations,46.5,13.4,49.9,0.954,0.261,0.285,0.228,0.628
Milwaukee Sign Language Elementary,Milwaukee Public School,K-8,414,0.068,0.047,Fails to Meet Expectations,46.5,10.9,52.7,0.923,0.213,0.002,0.838,0.068
Rocketship Transformation Prep,Public Charter School,K-5,231,0.133,0.147,Fails to Meet Expectations,46.3,20,46.1,0.922,0.139,0.004,0.818,0.104
Townsend Street Elementary,Milwaukee Public School,K-8,299,0.05,0,Fails to Meet Expectations,46.2,6.3,51.8,0.903,0.174,0,0.893,0.047
Green Tree Preparatory Academy,Milwaukee Public School,6-12,496,0.073,0.03,Fails to Meet Expectations,46.1,12.3,59.4,0.948,0.143,0.018,0.881,0.042
Franklin Elementary,Milwaukee Public School,K-8,344,0.064,0.012,Fails to Meet Expectations,45.7,9.8,53.7,0.942,0.273,0.003,0.933,0.044
Thoreau Elementary,Milwaukee Public School,K-8,357,0.151,0.067,Fails to Meet Expectations,45.3,17.6,54.6,0.986,0.137,0.011,0.871,0.056
Fifty-Third Street Elementary,Milwaukee Public School,K-8,330,0.08,0.032,Fails to Meet Expectations,45.2,11.8,53.7,0.927,0.233,0.015,0.827,0.109
Sherman Elementary,Milwaukee Public School,K-8,242,0.089,0,Fails to Meet Expectations,44.8,9.5,54.6,0.893,0.19,0,0.909,0.041
Barton Elementary,Milwaukee Public School,K-5,259,0.155,0.107,Fails to Meet Expectations,44.6,21.9,49.8,0.927,0.309,0,0.876,0.031
Andrew S Douglas Middle,Milwaukee Public School,6-8,106,0.033,0.011,Fails to Meet Expectations,44.5,6.1,59.4,0.858,0.255,0.009,0.934,0.028
Browning Elementary,Milwaukee Public School,K-5,288,0.09,0.05,Fails to Meet Expectations,44.4,11.1,53.7,0.896,0.295,0.01,0.903,0.049
Milwaukee Academy of Chinese Language,Milwaukee Public School,K-8,491,0.114,0.093,Fails to Meet Expectations,44.4,14.6,46.1,0.91,0.163,0.326,0.686,0.045
Elm Creative Arts Elementary,Milwaukee Public School,K-5,319,0.082,0.066,Fails to Meet Expectations,44.1,12.3,53.7,0.959,0.125,0,0.881,0.031
Mitchell Elementary,Milwaukee Public School,K-8,613,0.083,0.077,Fails to Meet Expectations,44.1,16,44.2,0.917,0.245,0.447,0.157,0.763
Mount Calvary Lutheran School,Private School*,K-8,179,0.171,0.094,Fails to Meet Expectations,43.7,23.3,38.5,0.994,0.017,0.106,0.927,0.028
Morse Mid,Milwaukee Public School,6-8,416,0.139,0.07,Fails to Meet Expectations,42.6,15.9,48.9,0.875,0.18,0.07,0.704,0.063
Riverwest Elementary,Milwaukee Public School,K-5,275,0.109,0.064,Fails to Meet Expectations,42.4,11.6,52.7,0.96,0.211,0.007,0.782,0.098
Hi-Mount Elementary,Milwaukee Public School,K-8,143,0.024,0.083,Fails to Meet Expectations,42.3,9.9,50.8,0.993,0.161,0,0.895,0.021
Metcalfe Elementary,Milwaukee Public School,K-8,342,0.007,0.03,Fails to Meet Expectations,40.2,7.9,44.2,0.927,0.158,0,0.936,0.023
Thurston Woods Elementary,Milwaukee Public School,K-8,298,0.047,0.02,Fails to Meet Expectations,40.1,9.9,47,0.93,0.154,0,0.893,0.054
Wisconsin Conservatory of Lifelong Learning,Milwaukee Public School,K-12,431,0.02,0.005,Fails to Meet Expectations,39.6,7.6,59.4,0.923,0.188,0.032,0.884,0.03
Emerson Elementary,Milwaukee Public School,K-5,202,0.145,0.079,Fails to Meet Expectations,39.2,15.5,45.1,0.901,0.277,0.005,0.822,0.079
Hawthorne Elementary,Milwaukee Public School,K-5,285,0.098,0.043,Fails to Meet Expectations,39,15.1,41.3,0.986,0.2,0,0.835,0.074
Eighty-First Street Elementary,Milwaukee Public School,K-5,358,0.102,0.074,Fails to Meet Expectations,38.5,19.7,39.4,0.88,0.277,0.017,0.774,0.053
Obama School of Career and Technical Education,Milwaukee Public School,K-12,1226,0.034,0.015,Fails to Meet Expectations,35.1,11.5,52.7,0.893,0.155,0.042,0.778,0.126
Lancaster Elementary,Milwaukee Public School,K-8,331,0.041,0.035,Fails to Meet Expectations,35,4.6,43.2,0.9,0.157,0.006,0.855,0.048
Zablocki Elementary,Milwaukee Public School,K-5,295,0.207,0.091,Fails to Meet Expectations,31.2,24.6,22.3,0.905,0.281,0.261,0.102,0.556
Brown Street Academy,Milwaukee Public School,K-5,204,0.041,0.054,Fails to Meet Expectations,30.8,4.9,35.6,0.98,0.255,0,0.907,0.074
El Puente High School,Private School*,9-12,88,0.042,0,Fails to Meet Expectations,30.4,27.6,NA,0.989,0.023,0.227,0.182,0.773
Atlas Preparatory Academy Inc,Private School*,K-12,421,0.086,0.045,Fails to Meet Expectations,27,18.3,51.8,0,0.019,0.2,0.375,0.561
King International Baccalaureate Middle,Milwaukee Public School,6-8,210,0.046,0.013,Fails to Meet Expectations,18.4,6.4,11.9,0.948,0.21,0.014,0.914,0.029
NOVA-Northwest Opportunities Vocational Academy,Partnership,9-12,117,NA,NA,Fails to Meet Expectations,14,8.7,NA,0.974,0.222,0,0.923,0.043
ASSATA High,Partnership,9-12,116,NA,NA,Fails to Meet Expectations,12.9,7.2,NA,0.871,0.19,0.009,0.897,0.06
Shalom High,Partnership,9-12,110,NA,NA,Fails to Meet Expectations,8.6,2.3,NA,0.873,0.209,0,0.918,0.009
Divine Destiny School,Private School,K-8,90,0.019,0,NR-DATA,NA,NA,NA,0.989,0,0,0.967,0.011
Universal Scholars Academy,Private School,K-5,63,0.038,0.038,NR-DATA,NA,NA,NA,0.524,0,0,1,0
Notre Dame School of Milwaukee,Private School,6-8,101,0.622,0.8,NR-DATA,NA,NA,NA,0.752,0.109,0.485,0.01,0.99
Torah Academy of Milwaukee,Private School*,9-12,6,0.773,0.636,NR-DATA,NA,NA,NA,NA,NA,NA,0,0
Groppi High,Milwaukee Public School,9-12,102,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.873,0.245,0.02,0.873,0.078
Transition High,Milwaukee Public School,9-12,88,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.841,0.25,0.023,0.886,0.08
South Accelerated Academy,Milwaukee Public School,9-12,48,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.875,0.229,0.146,0.417,0.479
Vincent Accelerated Academy,Milwaukee Public School,9-12,49,0,0,Alternate Rating - Needs Improvement,NA,NA,NA,0.857,0.265,0,0.816,0.041
Project STAY-Supporting Teachers and Youth,Milwaukee Public School,9-12,78,0,0,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.885,0.231,0.026,0.769,0.154
CERT School,Private School*,9-12,3,NA,NA,NR-DATA,NA,NA,NA,NA,NA,NA,1,0
Christian Faith Academy of Higher Learning,Private School*,K-8,25,NA,NA,NR-DATA,NA,NA,NA,0.24,0,0,0.96,0
First Immanuel Lutheran School,Private School*,K-8,6,NA,NA,NR-DATA,NA,NA,NA,NA,NA,NA,0,0
Jo's Learning Academy,Private School*,K-5,78,NA,NA,NR-DATA,NA,NA,NA,0.179,0.013,0,1,0
Malaika Early Learning Center,Private School,K-5,87,NA,NA,NR-DATA,NA,NA,NA,1,0.034,0,1,0
Banner Preparatory School of Milwaukee,Partnership,9-12,44,NA,NA,Alternate Rating - Needs Improvement,NA,NA,NA,0.977,0.227,0,0.977,0.023
Lad Lake Synergy School,Partnership,6-12,35,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.8,0.229,0.143,0.543,0.286
Milwaukee County Youth Education Center,Milwaukee Public School,6-12,22,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,0.409,0.273,0,0.909,0.045
Southeastern,Partnership,6-8,16,NA,NA,Alternate Rating - Needs Improvement,NA,NA,NA,NA,NA,NA,0.813,0.063
Right Step Inc,Private School,6-12,NA,NA,NA,NR-DATA,NA,NA,NA,NA,NA,NA,NA,NA
Up Christian Academy Inc,Private School*,K-5,45,NA,NA,NR-DATA,NA,NA,NA,1,0,0,0.911,0
UpGrade Media Arts Schools,Public Charter School,6-12,10,NA,NA,Alternate Rating - Satisfactory Progress,NA,NA,NA,NA,NA,NA,0.9,0.1
Grant Gordon Learning Center,Milwaukee Public School,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Next Door Charter,Public Charter School,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Coletta Day School,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starms Early Childhood,Milwaukee Public School,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
